"","OTU","baseMean","effect","Phylum","Class","Order","Family","Genus"
"Seq_669","Seq_669",0.047660203941694,-1.95765324550165,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora"
"Seq_718","Seq_718",0.0294379922235416,1.9562394154051,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Seq_312","Seq_312",0.113535734725546,-1.94913993201067,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_92","Seq_92",0.29019113251709,1.9390969078564,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Seq_432","Seq_432",0.041116800456892,1.93656149361833,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_349","Seq_349",0.113904311306826,-1.93356563739823,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"Seq_70","Seq_70",0.160651108636448,1.93347978858865,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_1108","Seq_1108",0.0153946321338457,1.93325948912541,"Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Seq_342","Seq_342",0.0895554307712277,-1.92623890959599,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Seq_150","Seq_150",0.205478450449084,1.92478508622173,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_824","Seq_824",0.0309633411547362,-1.90179296889183,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"Seq_128","Seq_128",0.190035006941972,1.89634807535392,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Seq_887","Seq_887",0.0375413260767188,-1.88627306406714,"Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Unclassified"
"Seq_187","Seq_187",0.0686697685537523,-1.88042465080995,"Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Seq_701","Seq_701",0.0494634423490244,-1.87820375677314,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"Seq_1206","Seq_1206",0.0307511307421771,-1.87590118513758,"Rare","Subgroup_6","Unclassified","Unclassified","Unclassified"
"Seq_59","Seq_59",0.312737550398433,1.87397356241073,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"Seq_904","Seq_904",0.0356069028338145,-1.86196574049914,"Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"Seq_1020","Seq_1020",0.0183992492859195,1.86094444658431,"Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus"
"Seq_546","Seq_546",0.0682592767699081,-1.86077609658777,"Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"Seq_95","Seq_95",0.340763074028493,-1.85918303833602,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Seq_449","Seq_449",0.043775163561564,1.85707058540195,"Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"Seq_896","Seq_896",0.0337020958299631,-1.84573203576092,"Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes"
"Seq_764","Seq_764",0.0253289407415636,1.84242991035462,"Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Seq_335","Seq_335",0.0719798927120821,-1.83740023930914,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter"
"Seq_395","Seq_395",0.0528601479491089,1.83433005752358,"Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herminiimonas"
"Seq_667","Seq_667",0.0334593225580163,1.83352600623703,"Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Unclassified"
"Seq_632","Seq_632",0.0608101865669759,-1.82840000276232,"Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga"
"Seq_724","Seq_724",0.0164229259546338,1.82822369791704,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"Seq_47","Seq_47",0.131443449709787,1.82790571920914,"Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Seq_352","Seq_352",0.1094644319995,-1.8265606172983,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Seq_255","Seq_255",0.104566046890484,1.82374815686342,"Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
